url	download_complete
www.ics.uci.edu/ugrad	complete
www.ics.uci.edu/about/equity	complete
www.ics.uci.edu/involved/leadership_council	complete
netreg.ics.uci.edu	incomplete
www.ics.uci.edu/involved/information_session.php	incomplete
www.ics.uci.edu/grad/courses/index.php	incomplete
www.ics.uci.edu/grad/index	complete
www.ics.uci.edu/ugrad/policies/Course_Outside_UCI.php	incomplete
www.ics.uci.edu/ugrad/policies/Computer_RemoteAccess.php	incomplete
www.ics.uci.edu/involved/leadership_council.php	incomplete
www.ics.uci.edu/computing/linux/modules.php	incomplete
www.ics.uci.edu/computing/contact/who.php	incomplete
www.ics.uci.edu/about/brenhall/index.php	complete
mhcid.ics.uci.edu	incomplete
www.ics.uci.edu/computing/quarterlyAnnouncement/index.php	incomplete
www.ics.uci.edu/ugrad/policies/CS199_IN4MATX199.php	incomplete
www.ics.uci.edu/grad/admissions/index.php	incomplete
www.ics.uci.edu/involved	incomplete
www.ics.uci.edu/computing/network	incomplete
www.ics.uci.edu/ugrad/degrees/Minors.php	incomplete
www.ics.uci.edu/statistics/grad/index.php	incomplete
www.ics.uci.edu/computing/services/msoffice.php	incomplete
www.ics.uci.edu/community/news/press/index.php	incomplete
www.ics.uci.edu	complete
www.ics.uci.edu/computing/linux/shell.php	incomplete
www.ics.uci.edu/computing/linux/gsu.php	incomplete
www.ics.uci.edu/about/about_mission.php	incomplete
www.ics.uci.edu/computing/linux/sge.php	incomplete
www.ics.uci.edu/grad/admissions/Prospective_ApplicationProcess.php	complete
www.ics.uci.edu/ugrad/policies/Laptop_ComputerUse	complete
www.ics.uci.edu/computing/policy	incomplete
www.ics.uci.edu/grad/degrees/index	incomplete
www.ics.uci.edu/ugrad/sao/Course_updates	incomplete
www.ics.uci.edu/computing/services/microsoft_imagine.php	incomplete
emj.ics.uci.edu/papers/machine-learning-papers	incomplete
www.ics.uci.edu/about/annualreport/index.php	incomplete
www.ics.uci.edu/grad/policies/index	incomplete
www.ics.uci.edu/ugrad/sao/index	complete
www.ics.uci.edu/grad/resources.php	incomplete
www.ics.uci.edu/about/bren/bren_press.php	incomplete
www.ics.uci.edu/about/about_safety.php	incomplete
www.ics.uci.edu/community/news/view_news.php	incomplete
www.ics.uci.edu/ugrad/degrees/degree_se.php	incomplete
www.ics.uci.edu/computing/account/faqs.php	incomplete
www.ics.uci.edu/grad/degrees/index.php	incomplete
www.ics.uci.edu/computing/account/mapdrive_win.php	incomplete
www.ics.uci.edu/ugrad/degrees/Minors	complete
www.ics.uci.edu/ugrad/policies/Academic_Standing	incomplete
www.ics.uci.edu/ugrad/resources/index.php	incomplete
www.ics.uci.edu/computing/account/activate.php	incomplete
www.ics.uci.edu/computing/linux/security.php	incomplete
www.ics.uci.edu/ugrad/degrees/degree_bim.php	incomplete
www.ics.uci.edu/faculty	incomplete
www.ics.uci.edu/computing/services/printing.php	incomplete
www.ics.uci.edu/grad/funding/index	incomplete
www.ics.uci.edu/ugrad/index.php	incomplete
www.ics.uci.edu/computing/services/restore.php	incomplete
www.ics.uci.edu/faculty/highlights	complete
www.ics.uci.edu/computing/services/sophos_mac.php	incomplete
www.ics.uci.edu/facebook	incomplete
www.ics.uci.edu/computing/services/snapshot.php	incomplete
www.ics.uci.edu/computing/linux/hosts.php	incomplete
www.ics.uci.edu/about/visit/index.php	incomplete
www.ics.uci.edu/ugrad/policies/Laptop_ComputerUse.php	incomplete
www.ics.uci.edu/ugrad/sao/index.php	incomplete
www.ics.uci.edu/computing/account/password.php	incomplete
www.ics.uci.edu/ugrad/policies/Grade_Options	incomplete
asterix.ics.uci.edu	incomplete
www.ics.uci.edu/community/news/student_blogs	incomplete
www.ics.uci.edu/about/search/search_graduate_all.php	incomplete
www.ics.uci.edu/ugrad/policies/Grade_Options.php	incomplete
www.ics.uci.edu/grad	incomplete
www.ics.uci.edu/ugrad/degrees/Double_Majors.php	incomplete
www.ics.uci.edu/about	incomplete
www.ics.uci.edu/computing/email/delivery_point.php	incomplete
hombao.ics.uci.edu	incomplete
www.ics.uci.edu/%7Edjr/DebraJRichardson/SE4S.html	incomplete
www.ics.uci.edu/grad/funding/index.php	incomplete
www.ics.uci.edu/ugrad/policies/Withdrawal_Readmission.php	incomplete
www.ics.uci.edu/grad/admissions/index	complete
www.ics.uci.edu/community/news/index.php	incomplete
www.ics.uci.edu/about/bren/index.php	incomplete
www.ics.uci.edu/ugrad/policies/Add_Drop_ChangeOption	incomplete
www.ics.uci.edu/ugrad/degrees/Second_BA.php	incomplete
www.ics.uci.edu/ugrad/policies/Withdrawal_Readmission	complete
www.ics.uci.edu/grad/forms/index	complete
www.ics.uci.edu/involved/corporate_partner	incomplete
www.ics.uci.edu/ugrad/degrees/index.php	complete
www.ics.uci.edu/ugrad/policies/Academic_Standing.php	incomplete
www.ics.uci.edu/community/news/press	incomplete
www.ics.uci.edu/ugrad/courses/index	incomplete
www.ics.uci.edu/ugrad/QA_Petitions.php	incomplete
www.ics.uci.edu/involved/internship.php	incomplete
www.ics.uci.edu/computing/web/personalpage.php	incomplete
www.ics.uci.edu/%7eprojects/satware	incomplete
www.ics.uci.edu/grad/courses/index	incomplete
emj.ics.uci.edu/papers/computational-biology-papers	incomplete
www.ics.uci.edu/community/events/competition	incomplete
www.ics.uci.edu/ugrad/policies/Computer_Copyrights.php	incomplete
www.ics.uci.edu/dept	incomplete
www.ics.uci.edu/prospective	complete
www.ics.uci.edu/computing/account/renewal.php	incomplete
www.ics.uci.edu/ugrad/resources/index	incomplete
www.ics.uci.edu/grad/policies/index.php	incomplete
www.ics.uci.edu/computing/account/quota.php	incomplete
www.ics.uci.edu/computing/services/sophos_win.php	incomplete
www.ics.uci.edu/grad/forms/index.php	incomplete
www.ics.uci.edu/%7edgillen	incomplete
www.ics.uci.edu/ugrad/QA_Graduation.php	incomplete
www.ics.uci.edu/computing/account/mapdrive_mac.php	incomplete
www.ics.uci.edu/computing/policy/ethics.php	incomplete
www.ics.uci.edu/about/search/index.php	incomplete
www.ics.uci.edu/community/news/student_blogs/index.php	incomplete
www.ics.uci.edu/computing/email/group_email.php	incomplete
www.ics.uci.edu/computing/email	incomplete
www.ics.uci.edu/%7elab/lab_schedule	incomplete
www.ics.uci.edu/computing/contact/index.php	incomplete
www.ics.uci.edu/community/news/view_news	complete
www.ics.uci.edu/involved/project_class	incomplete
www.ics.uci.edu/community/news/press/view_press	incomplete
www.ics.uci.edu/grad/index.php	incomplete
www.ics.uci.edu/~lab	incomplete
www.ics.uci.edu/computing/account/new	complete
www.ics.uci.edu/ugrad/QA_Graduation	incomplete
www.ics.uci.edu/computing/policy/ethics_summary.php	incomplete
www.ics.uci.edu/about/annualreport	incomplete
evoke.ics.uci.edu/newsite	incomplete
www.ics.uci.edu/ugrad/sao/SAO_Events.php	complete
www.ics.uci.edu/grad/degrees/degree_cs.php	incomplete
www.ics.uci.edu/ugrad/sao/Course_updates.php	incomplete
www.ics.uci.edu/grad/resources	complete
radicle.ics.uci.edu	incomplete
www.ics.uci.edu/ugrad/policies/Computer_Acct_Backup.php	incomplete
www.ics.uci.edu/grad/admissions	incomplete
www.ics.uci.edu/computing/web/faqs.php	incomplete
sherlock.ics.uci.edu	incomplete
www.ics.uci.edu/ugrad/policies/Computer_Ethics.php	incomplete
www.ics.uci.edu/involved/tech_talk.php	incomplete
www.ics.uci.edu/community/events/openhouse/dedication.html	incomplete
www.ics.uci.edu/ugrad/policies/Course_Outside_UCI	incomplete
www.ics.uci.edu/involved/project_class.php	incomplete
webmail.ics.uci.edu	incomplete
duttgroup.ics.uci.edu/doku.php/projects	incomplete
www.ics.uci.edu/ugrad/QA_Petitions	incomplete
www.ics.uci.edu/ugrad/courses/index.php	incomplete
www.ics.uci.edu/computing/email/google_apps.php	incomplete
www.ics.uci.edu/%7esysarch	incomplete
intranet.ics.uci.edu	incomplete
www.ics.uci.edu/about/brenhall	incomplete
www.ics.uci.edu/%7elab	incomplete
www.ics.uci.edu/about/about_deanmsg.php	incomplete
www.ics.uci.edu/ugrad/policies	incomplete
www.ics.uci.edu/community/alumni	incomplete
www.ics.uci.edu/about/about_contact.php	incomplete
www.ics.uci.edu/computing/email/mailboss.php	incomplete
www.ics.uci.edu/ugrad/policies/Academic_Honesty.php	incomplete
www.ics.uci.edu/ugrad/policies/Add_Drop_ChangeOption.php	incomplete
www.ics.uci.edu/computing/account/new.php	incomplete
www.ics.uci.edu/ugrad/index	incomplete
www.ics.uci.edu/computing/email/thunderbird_setup.php	incomplete
www.ics.uci.edu/ugrad/policies/CS199_IN4MATX199	incomplete
www.ics.uci.edu/about/visit/index	incomplete
www.ics.uci.edu/faculty/centers	incomplete
www.ics.uci.edu/about/about_factsfigures.php	incomplete
www.ics.uci.edu/community/scholarships/index	incomplete
www.ics.uci.edu/community/news	incomplete
www.ics.uci.edu/involved/corporate_partner.php	incomplete
www.ics.uci.edu/computing/account	incomplete
www.ics.uci.edu/ugrad/degrees	incomplete
